aX,aY,aZ,gX,gY,gZ
-0.423,-0.599,2.185,1.770,16.785,41.504
-0.506,-0.811,2.422,-2.563,36.621,63.049
-0.535,-0.944,2.555,-6.775,63.477,89.172
-0.593,-0.992,2.562,-4.089,92.163,116.516
-0.667,-0.970,2.421,4.944,120.728,143.250
-0.717,-0.904,2.165,14.832,146.057,169.128
-0.787,-0.834,1.937,20.081,165.405,193.420
-0.838,-0.756,1.822,19.409,178.101,216.675
-0.909,-0.667,1.770,17.883,187.378,239.258
-1.016,-0.596,1.700,16.113,198.547,261.169
-1.086,-0.576,1.624,12.817,212.402,281.921
-1.150,-0.521,1.562,4.944,226.685,303.162
-1.220,-0.465,1.506,2.808,240.967,325.745
-1.322,-0.414,1.458,7.935,255.249,348.450
-1.402,-0.341,1.421,16.235,269.043,369.568
-1.437,-0.198,1.312,28.748,282.043,388.977
-1.485,0.013,1.065,53.406,294.495,408.691
-1.508,0.210,0.772,82.886,299.255,424.316
-1.534,0.483,0.572,98.694,293.701,430.908
-1.609,0.835,0.336,113.220,281.982,431.458
-1.524,1.189,-0.030,132.446,269.043,430.603
-1.440,1.407,-0.252,151.978,242.920,425.720
-1.458,1.503,-0.110,149.414,203.186,409.302
-1.479,1.475,0.192,141.357,165.833,386.902
-1.555,1.377,0.478,146.729,146.606,372.009
-1.736,1.356,0.611,154.541,147.705,369.446
-1.867,1.414,0.552,159.363,158.630,374.878
-1.966,1.571,0.426,158.203,167.419,381.714
-2.086,1.797,0.240,162.476,167.542,386.780
-2.084,2.084,0.002,172.668,157.776,389.160
-1.990,2.432,-0.279,177.185,139.099,384.949
-1.835,2.869,-0.538,167.664,112.183,370.422
-1.643,3.389,-0.684,148.560,76.294,343.933
-1.445,4.000,-0.552,136.719,32.837,285.767
-1.068,4.000,-0.167,145.203,-18.799,56.824
-0.953,3.336,-0.052,166.626,-46.143,-57.007
-1.560,2.899,0.136,156.494,-55.603,-35.950
-1.766,3.269,0.091,93.628,-52.795,-5.615
-1.616,3.762,-0.036,-0.854,-43.091,-11.536
-1.524,3.999,-0.184,-67.993,-41.321,-57.495
-1.517,3.857,-0.199,-105.286,-60.913,-130.432
-1.593,3.416,0.017,-119.690,-98.328,-210.205
-1.732,2.959,0.409,-117.188,-132.935,-277.893
-1.796,2.698,0.692,-92.102,-148.560,-327.759
-1.809,2.621,0.686,-42.236,-146.118,-366.089
-1.812,2.687,0.426,9.827,-137.878,-404.602
-1.900,2.815,0.077,45.776,-136.230,-452.148
-2.105,2.714,-0.191,62.012,-146.851,-509.521
-2.375,2.415,-0.298,49.194,-169.373,-571.472
-2.636,1.919,-0.218,11.902,-201.355,-626.648
-2.816,1.260,0.037,-38.025,-236.938,-663.269
-2.846,0.614,0.469,-87.830,-269.958,-674.011
-2.728,0.183,0.977,-121.155,-292.480,-658.020
-2.491,0.034,1.465,-130.249,-298.035,-621.948
-2.409,0.137,1.793,-116.882,-285.828,-583.984
-2.573,0.156,1.908,-78.186,-256.714,-562.561
-2.643,-0.088,1.818,-27.649,-218.872,-563.660
-2.501,-0.578,1.649,23.621,-184.509,-572.876
-2.435,-1.200,1.416,75.134,-156.677,-567.627
-2.333,-1.827,1.125,102.478,-131.592,-536.011
-1.968,-2.295,0.861,84.900,-114.319,-475.952
