aX,aY,aZ,gX,gY,gZ
-0.777,1.540,1.077,-107.239,-318.542,147.888
-0.666,1.834,1.565,-123.169,-312.805,131.042
-0.518,2.073,1.989,-125.793,-291.260,110.413
-0.380,2.346,2.336,-123.718,-257.385,82.275
-0.337,2.610,2.578,-115.662,-215.027,44.312
-0.326,2.741,2.649,-102.539,-168.152,-3.601
-0.339,2.661,2.559,-89.417,-121.155,-60.547
-0.410,2.421,2.365,-84.595,-77.148,-119.629
-0.483,2.082,2.106,-87.341,-39.917,-170.715
-0.528,1.685,1.856,-95.337,-11.719,-210.022
-0.526,1.337,1.683,-101.868,6.165,-234.863
-0.494,1.037,1.643,-100.891,16.479,-246.399
-0.460,0.829,1.742,-99.670,23.193,-248.535
-0.411,0.714,1.911,-95.215,32.776,-244.629
-0.332,0.624,2.075,-80.872,49.011,-237.427
-0.262,0.550,2.223,-58.716,71.228,-230.530
-0.283,0.486,2.329,-31.433,97.656,-224.487
-0.335,0.405,2.304,2.686,129.089,-217.957
-0.464,0.391,2.173,39.307,164.246,-207.947
-0.554,0.467,1.842,82.092,198.425,-192.810
-0.537,0.550,1.502,112.061,224.670,-178.223
-0.590,0.623,1.172,114.136,238.586,-171.570
-0.568,0.590,0.873,101.318,241.394,-170.105
-0.460,0.550,0.729,74.707,235.229,-172.119
-0.360,0.471,0.724,46.814,224.243,-176.697
-0.336,0.425,0.759,26.794,215.027,-179.749
-0.276,0.381,0.763,18.188,210.144,-179.749
-0.212,0.355,0.732,23.315,208.130,-178.528
-0.202,0.302,0.649,37.659,208.191,-177.917
-0.187,0.237,0.521,53.955,208.801,-176.880
-0.177,0.163,0.379,63.538,207.092,-174.805
-0.174,0.053,0.199,67.871,202.332,-169.983
-0.166,-0.099,0.004,70.251,194.763,-160.950
-0.088,-0.255,-0.201,68.054,182.800,-147.583
0.035,-0.360,-0.361,60.791,165.833,-130.859
0.150,-0.446,-0.448,53.955,144.043,-112.061
0.241,-0.452,-0.452,46.204,118.835,-90.759
0.335,-0.356,-0.372,39.673,93.994,-68.542
0.400,-0.194,-0.244,40.466,71.655,-47.668
0.414,-0.024,-0.129,45.593,55.725,-32.104
0.448,0.116,-0.082,55.115,46.692,-22.827
0.497,0.208,-0.079,62.683,40.283,-18.372
0.522,0.250,-0.084,64.819,32.959,-17.395
0.549,0.260,-0.055,60.913,24.536,-17.639
0.552,0.236,0.017,54.810,15.625,-17.578
0.573,0.207,0.123,43.152,8.972,-16.418
0.583,0.188,0.219,31.799,6.104,-14.099
0.575,0.173,0.271,24.536,6.042,-9.888
0.583,0.146,0.273,21.729,7.812,-4.272
0.605,0.172,0.263,16.846,8.911,1.282
0.624,0.232,0.253,12.451,8.240,6.714
0.634,0.301,0.243,12.085,5.493,10.132
0.666,0.360,0.238,13.062,1.709,11.353
0.670,0.397,0.249,13.855,-2.441,9.399
0.672,0.416,0.276,13.977,-5.554,5.493
0.665,0.362,0.305,18.860,-7.996,0.793
0.670,0.279,0.328,22.339,-10.132,-2.563
0.678,0.218,0.370,22.156,-12.085,-2.686
0.680,0.195,0.407,22.827,-13.794,0.977
0.669,0.238,0.431,23.376,-14.587,7.019
0.657,0.293,0.435,23.682,-14.526,12.695
0.671,0.350,0.436,20.142,-14.954,15.747
0.684,0.398,0.465,15.747,-16.907,16.235
0.684,0.412,0.514,14.954,-19.653,15.564
0.687,0.412,0.559,14.954,-20.813,13.977
0.682,0.415,0.577,14.709,-20.691,12.878
0.687,0.414,0.576,16.296,-19.043,13.123
0.691,0.408,0.569,17.273,-17.639,13.306
0.684,0.410,0.565,13.550,-17.212,12.756
0.693,0.424,0.578,9.583,-16.785,12.573
0.705,0.446,0.610,9.338,-16.602,12.573
0.712,0.474,0.646,11.841,-16.724,11.475
0.704,0.482,0.668,16.907,-16.235,9.705
0.715,0.480,0.671,20.203,-14.526,7.385
0.723,0.478,0.663,20.508,-12.024,5.066
0.725,0.467,0.662,19.165,-9.521,3.357
0.715,0.454,0.673,16.113,-7.202,1.648
0.703,0.439,0.685,11.658,-5.066,0.122
0.698,0.418,0.692,8.545,-2.136,-1.099
0.691,0.401,0.687,5.127,1.221,-2.258
0.682,0.391,0.663,3.601,4.150,-2.747
0.680,0.380,0.640,3.540,5.920,-2.991
0.683,0.371,0.628,3.235,6.653,-3.235
0.676,0.371,0.614,2.930,6.775,-3.418
0.676,0.370,0.588,4.272,7.141,-3.357
0.687,0.351,0.556,5.798,7.202,-2.991
0.693,0.335,0.529,5.310,6.226,-2.380
0.699,0.328,0.518,2.808,4.761,-1.648
0.704,0.335,0.522,-0.488,2.625,-0.122
0.704,0.348,0.535,-1.953,0.427,1.831
