aX,aY,aZ,gX,gY,gZ
0.551,-0.272,1.894,-7.751,5.066,-22.583
0.570,-0.341,1.969,-14.465,14.282,-19.226
0.553,-0.359,2.036,-22.278,24.597,-14.160
0.499,-0.326,2.089,-29.358,36.194,-8.362
0.442,-0.281,2.142,-34.973,48.401,-3.784
0.356,-0.233,2.211,-42.114,61.646,-2.563
0.252,-0.175,2.277,-49.316,75.623,-3.662
0.165,-0.143,2.330,-49.805,91.492,-6.409
0.085,-0.129,2.362,-44.495,108.459,-10.864
-0.007,-0.139,2.354,-32.471,125.793,-16.479
-0.143,-0.197,2.288,-14.160,143.616,-23.621
-0.289,-0.285,2.138,3.967,160.339,-30.212
-0.404,-0.433,1.967,18.494,174.561,-34.485
-0.532,-0.618,1.843,26.489,185.303,-35.522
-0.698,-0.809,1.731,28.015,195.312,-33.020
-0.867,-1.042,1.593,25.818,207.764,-24.353
-0.985,-1.315,1.412,21.484,221.863,-8.362
-1.085,-1.484,1.196,15.869,234.497,17.090
-1.142,-1.547,0.980,11.353,243.286,53.406
-1.177,-1.470,0.742,9.888,247.253,95.337
-1.202,-1.282,0.502,12.756,247.925,137.390
-1.264,-1.015,0.295,18.127,246.033,174.316
-1.333,-0.792,0.148,27.100,241.150,200.439
-1.391,-0.649,0.052,37.903,234.619,214.478
-1.506,-0.647,-0.043,50.171,227.905,220.520
-1.601,-0.735,-0.165,60.059,222.229,229.187
-1.681,-0.826,-0.295,64.636,217.102,247.070
-1.767,-0.826,-0.454,61.890,211.426,276.489
-1.872,-0.723,-0.751,56.274,203.918,318.420
-1.925,-0.523,-1.082,44.128,193.359,369.080
-2.020,-0.186,-1.285,22.766,175.232,421.204
-2.192,0.295,-1.478,2.197,148.621,470.093
-2.226,0.870,-1.615,-23.254,119.202,511.169
-2.195,1.480,-1.523,-45.532,86.365,537.964
-2.187,1.998,-1.339,-46.021,48.401,546.143
-2.062,2.392,-1.076,-27.771,13.428,536.499
-2.014,2.604,-0.750,10.071,-15.564,511.658
-2.053,2.619,-0.479,48.279,-38.086,477.722
-2.004,2.551,-0.510,67.810,-50.415,445.129
-1.898,2.526,-0.686,76.843,-57.434,423.035
-1.887,2.609,-0.816,83.923,-75.256,409.729
-1.925,2.749,-0.791,85.022,-105.957,396.729
-1.903,2.852,-0.672,89.233,-139.893,379.028
-1.812,2.957,-0.442,97.412,-170.044,356.812
-1.701,3.127,-0.162,100.891,-193.054,332.397
-1.618,3.353,0.093,96.069,-203.552,305.298
-1.567,3.588,0.240,94.421,-201.538,272.461
-1.397,3.778,0.248,103.821,-194.275,231.201
-1.294,3.944,0.240,122.314,-188.416,178.406
-1.223,3.985,0.215,142.395,-186.646,113.831
-1.173,3.870,0.195,156.921,-186.951,39.978
-1.141,3.563,0.159,162.903,-187.256,-35.645
-1.113,3.204,0.136,160.217,-187.256,-104.187
-1.096,2.875,0.152,141.663,-187.256,-159.912
-1.052,2.636,0.231,110.962,-187.866,-204.712
-0.967,2.411,0.367,82.397,-187.866,-240.112
-0.958,2.357,0.508,65.552,-189.636,-270.142
-0.934,2.163,0.684,60.608,-190.002,-300.354
-0.865,2.004,0.930,54.749,-187.683,-325.989
-0.812,2.006,1.163,47.974,-182.129,-349.304
-0.790,2.042,1.370,46.997,-169.983,-375.061
-0.840,2.109,1.515,50.903,-153.809,-408.997
-1.017,2.129,1.644,56.396,-138.611,-453.308
-1.380,2.015,1.775,59.753,-126.282,-505.249
-1.786,1.718,1.892,55.908,-113.831,-561.218
-2.165,1.277,1.938,52.429,-99.976,-613.708
-2.385,0.704,1.846,59.692,-84.778,-652.039
-2.377,0.065,1.750,70.923,-70.618,-671.753
-2.244,-0.481,1.744,72.205,-61.279,-669.189
-2.043,-0.780,1.755,68.909,-50.659,-643.311
-1.861,-0.826,1.703,72.021,-33.508,-600.525
-1.760,-0.704,1.460,74.951,-11.963,-554.138
-1.603,-0.686,1.116,80.261,3.601,-514.160
-1.605,-0.807,0.934,77.332,8.423,-483.948
-1.648,-1.180,0.853,52.673,10.559,-460.083
-1.463,-1.663,0.858,4.700,18.250,-433.350
-1.170,-2.088,0.930,-40.283,27.283,-392.029
-0.917,-2.329,0.937,-57.495,33.203,-330.933
-0.680,-2.305,0.811,-48.584,33.203,-252.014
-0.440,-1.954,0.666,-33.813,24.658,-167.480
-0.278,-1.507,0.608,-28.381,6.409,-92.529
-0.199,-1.078,0.664,-34.180,-15.503,-35.522
-0.077,-0.659,0.786,-47.363,-33.081,4.333
0.056,-0.263,0.894,-57.007,-42.419,32.593
0.155,0.036,0.971,-55.115,-46.265,50.476
0.226,0.272,1.021,-47.668,-46.997,58.289
0.309,0.467,1.024,-37.048,-45.105,59.814
0.381,0.598,1.003,-22.583,-40.222,56.396
0.428,0.662,0.971,-10.498,-33.997,46.875
0.476,0.683,0.914,-3.052,-27.832,33.997
0.498,0.643,0.858,2.930,-22.339,22.156
0.507,0.594,0.782,4.822,-16.846,13.855
0.531,0.562,0.696,-1.404,-12.024,9.399
0.565,0.531,0.651,-13.489,-7.874,7.507
0.600,0.547,0.663,-25.391,-5.615,6.775
0.612,0.530,0.706,-26.489,-4.272,6.531
0.591,0.501,0.729,-19.653,-2.930,6.165
0.609,0.476,0.734,-13.672,-0.977,6.165
0.611,0.458,0.751,-11.292,-0.366,8.118
0.606,0.452,0.768,-9.338,-0.793,11.658
0.612,0.434,0.776,-4.272,-0.488,15.564
0.632,0.441,0.754,3.113,-0.427,19.348
0.616,0.451,0.717,10.925,0.244,23.315
0.573,0.486,0.677,13.855,1.160,26.917
0.571,0.564,0.621,8.423,3.052,28.198
0.569,0.598,0.582,1.831,4.700,26.794
0.559,0.615,0.593,-4.883,4.028,22.095
0.570,0.600,0.639,-9.277,0.854,15.869
0.570,0.563,0.669,-4.211,-3.174,10.620
0.545,0.499,0.676,4.578,-5.859,7.568
0.532,0.452,0.675,9.827,-8.118,7.324
0.525,0.420,0.690,12.878,-10.193,9.521
0.518,0.399,0.699,16.846,-11.230,12.451
